proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathwayClass	pathwayType
465776	2.7.4.9	Thymidylate kinase.	"ATP + thymidine 5'-phosphate = ADP + thymidine 5'-diphosphate."			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
465882	2.1.1.202							
465898	2.3.2.27							
465914	2.1.1.211							
465975	1.6.99.3	NADH dehydrogenase.	NADH + acceptor = NAD(+) + reduced acceptor.	Flavoprotein; Iron-sulfur.				
465985	2.3.2.23							
466009	6.2.1.16	Acetoacetate--CoA ligase.	ATP + acetoacetate + CoA = AMP + diphosphate + acetoacetyl-CoA.			Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
466050	2.3.1.234							
466081	3.4.13.9	Xaa-Pro dipeptidase.	Hydrolysis of Xaa-|-Pro dipeptides; also acts on aminoacyl- hydroxyproline analogs. No action on Pro-|-Pro.	Manganese.	Prolidase deficiency; MIM:170100.			
466200	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).					
466214	1.1.99.40							
466273	2.7.7.13	Mannose-1-phosphate guanylyltransferase.	GTP + alpha-D-mannose 1-phosphate = diphosphate + GDP-mannose.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
466327	6.2.1.3	Long-chain-fatty-acid--CoA ligase.	ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.			Fatty acid metabolism	Lipid Metabolism	METABOLIC
466407	4.1.3.38							
466420	2.7.11.1							
466443	2.7.7.80							
466443	2.8.1.11							
466444	3.2.1.113	Mannosyl-oligosaccharide 1,2-alpha-mannosidase.	Hydrolysis of the terminal 1,2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man(9)(GlcNAc)(2).			N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
466470	3.1.27.1	Ribonuclease T2.	"Two-stage endonucleolytic cleavage to 3'-phosphomononucleotides and 3'-phosphooligonucleotides with 2',3'-cyclic phosphate intermediates."					
466565	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.					
466589	2.1.1.228							
466597	2.1.3.3	Ornithine carbamoyltransferase.	Carbamoyl phosphate + L-ornithine = phosphate + L-citrulline.		Ornithine transcarbamylase deficiency; MIM:311250.	Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
466597	2.1.3.3	Ornithine carbamoyltransferase.	Carbamoyl phosphate + L-ornithine = phosphate + L-citrulline.		Ornithine transcarbamylase deficiency; MIM:311250.	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
466611	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.			Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
466611	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.			Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
466611	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.			Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC
466632	1.11.1.15							
466654	3.1.3.37	Sedoheptulose-bisphosphatase.	Sedoheptulose 1,7-bisphosphate + H(2)O = sedoheptulose 7-phosphate + phosphate.			Carbon fixation	Energy Metabolism	METABOLIC
466660	3.4.19.12	Ubiquitinyl hydrolase 1.	Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).					
466892	1.14.19.20							
466910	4.2.1.33	3-isopropylmalate dehydratase.	3-isopropylmalate = 2-isopropylmaleate + H(2)O.			Valine, leucine and isoleucine biosynthesis	Amino Acid Metabolism	METABOLIC
466957	2.7.1.26	Riboflavin kinase.	ATP + riboflavin = ADP + FMN.			Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
466977	2.7.11.22							
466985	2.5.1.87							
467004	3.4.11.19	D-stereospecific aminopeptidase.	Release of an N-terminal D-amino acid from a peptide, Xaa-|-Xaa-, in which Xaa is preferably D-Ala, D-Ser or D-Thr. D-amino acid amides and methyl esters also are hydrolysed, as is glycine amide.					
467033	2.5.1.18	Glutathione transferase.	RX + glutathione = HX + R-S-glutathione.			Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
467061	2.7.12.1							
467073	1.3.1.71							
467098	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.		Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
467098	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.		Acid phosphatase deficiency; MIM:200950.	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
467122	3.1.3.36	Phosphatidylinositol-bisphosphatase.	Phosphatidyl-myo-inositol 4,5-bisphosphate + H(2)O = phosphatidylinositol 4-phosphate + phosphate.					
467135	1.3.1.42	12-oxophytodienoate reductase.	8-[(1R,2R)-3-oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate + NADP(+) = (15Z)-12-oxophyto-10,15-dienoate + NADPH.					
467143	1.1.1.102	3-dehydrosphinganine reductase.	Sphinganine + NADP(+) = 3-dehydrosphinganine + NADPH.			Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
467143	1.1.1.56	Ribitol 2-dehydrogenase.	Ribitol + NAD(+) = D-ribulose + NADH.			Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
467156	2.7.11.1							
467172	3.1.4.37	"2',3'-cyclic nucleotide 3'-phosphodiesterase."	"Nucleoside 2',3'-cyclic phosphate + H(2)O = nucleoside 2'-phosphate."					
467175	3.2.1.28	Alpha,alpha-trehalase.	Alpha,alpha-trehalose + H(2)O = 2 D-glucose.			Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
467222	2.5.1.141							
467281	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			  RNA polymerase	TRANSCRIPTION	REGULATORY
467281	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			Purine metabolism	Nucleotide Metabolism	METABOLIC
467281	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
467285	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.					
467317	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			  RNA polymerase	TRANSCRIPTION	REGULATORY
467317	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			Purine metabolism	Nucleotide Metabolism	METABOLIC
467317	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
467322	4.1.3.27	Anthranilate synthase.	Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate.			Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
467326	6.1.1.20	Phenylalanine--tRNA ligase.	ATP + L-phenylalanine + tRNA(Phe) = AMP + diphosphate + L-phenylalanyl-tRNA(Phe).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
467326	6.1.1.20	Phenylalanine--tRNA ligase.	ATP + L-phenylalanine + tRNA(Phe) = AMP + diphosphate + L-phenylalanyl-tRNA(Phe).			Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
467351	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.					
467362	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			Purine metabolism	Nucleotide Metabolism	METABOLIC
467362	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			  DNA polymerase	REPLICATION AND REPAIR	REGULATORY
467362	2.7.7.7	DNA-directed DNA polymerase.	N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
467373	3.6.4.12							
467387	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.					
467396	3.5.2.1	Barbiturase.	Barbiturate + H(2)O = malonate + urea.			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
467396	3.5.2.15	Cyanuric acid amidohydrolase.	Cyanuric acid + H(2)O = biuret + CO(2).			Atrazine degradation	Biodegradation of Xenobiotics	METABOLIC
467430	2.3.2.27							
467440	2.1.1.311							
467448	3.2.1.58	Glucan 1,3-beta-glucosidase.	Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.			Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
467519	3.2.2.27							
467543	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.		Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Carbon fixation	Energy Metabolism	METABOLIC
467543	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.		Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
467543	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.		Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
467543	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.		Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
467543	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.		Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Inositol metabolism	Carbohydrate Metabolism	METABOLIC
467547	2.7.1.28	Triokinase.	ATP + D-glyceraldehyde = ADP + D-glyceraldehyde 3-phosphate.			Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
467547	2.7.1.28	Triokinase.	ATP + D-glyceraldehyde = ADP + D-glyceraldehyde 3-phosphate.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
467547	2.7.1.29	Glycerone kinase.	ATP + glycerone = ADP + glycerone phosphate.			Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
467547	4.6.1.15							
467588	2.4.1.232							
467615	1.8.4.14							
467776	6.3.2.2	Glutamate--cysteine ligase.	ATP + L-glutamate + L-cysteine = ADP + phosphate + gamma-L- glutamyl-L-cysteine.		Hemolytic anemia due to gamma-glutamylcysteine synthetase; MIM:230450.	Glutamate metabolism	Amino Acid Metabolism	METABOLIC
467776	6.3.2.2	Glutamate--cysteine ligase.	ATP + L-glutamate + L-cysteine = ADP + phosphate + gamma-L- glutamyl-L-cysteine.		Hemolytic anemia due to gamma-glutamylcysteine synthetase; MIM:230450.	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
467835	3.1.1.17	Gluconolactonase.	D-glucono-1,5-lactone + H(2)O = D-gluconate.			Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC
467835	3.1.1.17	Gluconolactonase.	D-glucono-1,5-lactone + H(2)O = D-gluconate.			Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
467835	3.1.1.17	Gluconolactonase.	D-glucono-1,5-lactone + H(2)O = D-gluconate.			Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
467920	5.3.4.1	Protein disulfide isomerase.	Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.					
467973	6.1.1.11	Serine--tRNA ligase.	ATP + L-serine + tRNA(Ser) = AMP + diphosphate + L-seryl-tRNA(Ser).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
467973	6.1.1.11	Serine--tRNA ligase.	ATP + L-serine + tRNA(Ser) = AMP + diphosphate + L-seryl-tRNA(Ser).			Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
467995	2.1.1.181							
468002	2.4.1.1	Phosphorylase.	{(1,4)-alpha-D-glucosyl}(N) + phosphate = {(1,4)-alpha-D-glucosyl}(N-1) + alpha-D-glucose 1-phosphate.		Glycogen storage disease V; MIM:232600. Glycogen storage disease VI; MIM:232700.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
468013	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.		Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
468017	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).					
468025	1.14.19.41							
468088	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.		Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
468099	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.		Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
468099	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.		Histidine metabolism	Amino Acid Metabolism	METABOLIC
468099	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.		Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
468099	2.6.1.9	Histidinol-phosphate aminotransferase.	L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-yl)-2- oxopropyl phosphate + L-glutamate.	Pyridoxal-phosphate.		Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
468137	2.4.2.1	Purine-nucleoside phosphorylase.	Purine nucleoside + phosphate = purine + alpha-D-ribose 1-phosphate.		T-cell immunodeficiency with neurologic disorder; MIM:164050.	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
468137	2.4.2.1	Purine-nucleoside phosphorylase.	Purine nucleoside + phosphate = purine + alpha-D-ribose 1-phosphate.		T-cell immunodeficiency with neurologic disorder; MIM:164050.	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
468137	2.4.2.1	Purine-nucleoside phosphorylase.	Purine nucleoside + phosphate = purine + alpha-D-ribose 1-phosphate.		T-cell immunodeficiency with neurologic disorder; MIM:164050.	Purine metabolism	Nucleotide Metabolism	METABOLIC
468146	2.3.1.47	8-amino-7-oxononanoate synthase.	6-carboxyhexanoyl-CoA + L-alanine = 8-amino-7-oxononanoate + CoA + CO(2).	Pyridoxal-phosphate.		Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
468146	4.1.1.36	Phosphopantothenoylcysteine decarboxylase.	"N-((R)-4-phosphopantothenoyl)-L-cysteine = pantotheine 4'-phosphate + CO(2)."	Pyruvate.		Pantothenate and CoA biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
468158	2.7.1.30	Glycerol kinase.	ATP + glycerol = ADP + glycerol 3-phosphate.		Hyperglycerolemia; MIM:307030.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
468165	6.1.1.7	Alanine--tRNA ligase.	ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala).			Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
468165	6.1.1.7	Alanine--tRNA ligase.	ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
468272	3.1.3.25	Myo-inositol-1(or 4)-monophosphatase.	Myo-inositol 1-monophosphate + H(2)O = myo-inositol + phosphate.			Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
468272	3.1.3.25	Myo-inositol-1(or 4)-monophosphatase.	Myo-inositol 1-monophosphate + H(2)O = myo-inositol + phosphate.			Streptomycin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
468272	3.1.3.25	Myo-inositol-1(or 4)-monophosphatase.	Myo-inositol 1-monophosphate + H(2)O = myo-inositol + phosphate.					
468304	3.1.1.73	Feruloyl esterase.	Feruloyl-polysaccharide + H(2)O = ferulate + polysaccharide.					
468339	2.6.1.7	Kynurenine--oxoglutarate aminotransferase.	L-kynurenine + 2-oxoglutarate = 4-(2-aminophenyl)-2,4-dioxobutanoate + L-glutamate.	Pyridoxal-phosphate.		Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
468355	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.		Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Erythromycin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
468355	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.		Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
468355	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.		Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
468355	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.		Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
468355	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.		Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
468355	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.		Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Galactose metabolism	Carbohydrate Metabolism	METABOLIC
468386	2.3.1.61	Dihydrolipoamide S-succinyltransferase.	Succinyl-CoA + dihydrolipoamide = CoA + S-succinyldihydrolipoamide.	Lipoyl group.	Maple syrup urine disease type II; MIM:248610.	Lysine degradation	Amino Acid Metabolism	METABOLIC
468386	2.3.1.61	Dihydrolipoamide S-succinyltransferase.	Succinyl-CoA + dihydrolipoamide = CoA + S-succinyldihydrolipoamide.	Lipoyl group.	Maple syrup urine disease type II; MIM:248610.	Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
468435	1.6.5.2	Transferred entry: 1.6.99.2.						
468461	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
468461	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
468461	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
468461	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
468461	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
468461	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
468496	2.7.7.87							
468540	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).					
468550	1.4.1.2	Glutamate dehydrogenase.	L-glutamate + H(2)O + NAD(+) = 2-oxoglutarate + NH(3) + NADH.			Nitrogen metabolism	Energy Metabolism	METABOLIC
468550	1.4.1.2	Glutamate dehydrogenase.	L-glutamate + H(2)O + NAD(+) = 2-oxoglutarate + NH(3) + NADH.			Glutamate metabolism	Amino Acid Metabolism	METABOLIC
468576	4.2.1.93	ATP-dependent H(4)NAD(P)OH dehydratase.	ATP + (6S)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide = ADP + phosphate + NADH.					
468580	3.5.4.5	Cytidine deaminase.	Cytidine + H(2)O = uridine + NH(3).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
468623	3.2.2.23	DNA-formamidopyrimidine glycosylase.	Hydrolysis of DNA containing ring-opened N7-methylguanine residues, releasing 2,6-diamino-4-hydroxy-5-(N-methyl)formamidopyrimide.					
468623	4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase.	"The C-O-P bond 3' to the apurinic or apyrimidinic site in DNA is broken by a beta-elimination reaction, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate."					
468639	2.5.1.1	Dimethylallyltransferase.	Dimethylallyl diphosphate + isopentenyl diphosphate = diphosphate + geranyl diphosphate.			Terpenoid biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
468639	2.5.1.1	Dimethylallyltransferase.	Dimethylallyl diphosphate + isopentenyl diphosphate = diphosphate + geranyl diphosphate.			Sterol biosynthesis	Lipid Metabolism	METABOLIC
468639	2.5.1.10	Geranyltranstransferase.	Geranyl diphosphate + isopentenyl diphosphate = diphosphate + trans,trans-farnesyl diphosphate.			Terpenoid biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
468639	2.5.1.10	Geranyltranstransferase.	Geranyl diphosphate + isopentenyl diphosphate = diphosphate + trans,trans-farnesyl diphosphate.			Sterol biosynthesis	Lipid Metabolism	METABOLIC
468833	1.1.1.381							
468882	3.6.4.13							
468883	3.5.1.98							
468899	2.4.1.11	Glycogen (starch) synthase.	UDP-glucose + {(1,4)-alpha-D-glucosyl}(N) = UDP + {(1,4)-alpha-D- glucosyl}(N+1).		Glycogen storage disease 0; MIM:240600.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
468931	2.1.2.9	Methionyl-tRNA formyltransferase.	10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA.			One carbon pool by folate	Metabolism of Cofactors and Vitamins	METABOLIC
468931	2.1.2.9	Methionyl-tRNA formyltransferase.	10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA.			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
468931	2.1.2.9	Methionyl-tRNA formyltransferase.	10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA.			Methionine metabolism	Amino Acid Metabolism	METABOLIC
468954	3.8.1.2	2-haloacid dehalogenase.	(S)-2-haloacid + H(2)O = (R)-2-hydroxyacid + halide.					
468966	2.7.8.1	Ethanolaminephosphotransferase.	CDP-ethanolamine + 1,2-diacylglycerol = CMP + a phosphatidylethanolamine.			Sphingophospholipid biosynthesis	Metabolism of Complex Lipids	METABOLIC
468966	2.7.8.1	Ethanolaminephosphotransferase.	CDP-ethanolamine + 1,2-diacylglycerol = CMP + a phosphatidylethanolamine.			Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
468966	2.7.8.1	Ethanolaminephosphotransferase.	CDP-ethanolamine + 1,2-diacylglycerol = CMP + a phosphatidylethanolamine.			Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
468989	3.2.1.58	Glucan 1,3-beta-glucosidase.	Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.			Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
469018	4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase.	"The C-O-P bond 3' to the apurinic or apyrimidinic site in DNA is broken by a beta-elimination reaction, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate."					
469056	1.3.1.34	2,4-dienoyl-CoA reductase (NADPH).	Trans-2,3-didehydroacyl-CoA + NADP(+) = trans,trans-2,3,4,5- tetradehydroacyl-CoA + NADPH.					
469074	1.14.14.17							
469186	3.1.26.5	Ribonuclease P.	"Endonucleolytic cleavage of RNA, removing 5'-extra-nucleotide from tRNA precursor."					
469220	1.8.4.10							
469220	1.8.4.8							
469222	2.7.1.25	Adenylylsulfate kinase.	"ATP + adenylylsulfate = ADP + 3'-phosphoadenylylsulfate."			Sulfur metabolism	Energy Metabolism	METABOLIC
469222	2.7.1.25	Adenylylsulfate kinase.	"ATP + adenylylsulfate = ADP + 3'-phosphoadenylylsulfate."			Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
469222	2.7.1.25	Adenylylsulfate kinase.	"ATP + adenylylsulfate = ADP + 3'-phosphoadenylylsulfate."			Purine metabolism	Nucleotide Metabolism	METABOLIC
469225	2.7.7.4	Sulfate adenylyltransferase.	ATP + sulfate = diphosphate + adenylylsulfate.			Purine metabolism	Nucleotide Metabolism	METABOLIC
469225	2.7.7.4	Sulfate adenylyltransferase.	ATP + sulfate = diphosphate + adenylylsulfate.			Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
469225	2.7.7.4	Sulfate adenylyltransferase.	ATP + sulfate = diphosphate + adenylylsulfate.			Sulfur metabolism	Energy Metabolism	METABOLIC
469274	3.1.2.6	Hydroxyacylglutathione hydrolase.	(S)-(2-hydroxyacyl)glutathione + H(2)O = glutathione + a 2-hydroxy acid anion.		Glyoxalase II deficiency; MIM:138760.	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
469310	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).					
469314	2.1.1.310							
469316	1.14.99.54							
469316	1.14.99.56							
469370	2.7.2.1	Acetate kinase.	ATP + acetate = ADP + acetyl phosphate.			Propanoate metabolism	Carbohydrate Metabolism	METABOLIC
469370	2.7.2.1	Acetate kinase.	ATP + acetate = ADP + acetyl phosphate.			Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
469376	2.1.1.287							
469382	2.6.1.11	Acetylornithine aminotransferase.	N2-acetyl-L-ornithine + 2-oxoglutarate = N-acetyl-L-glutamate 5-semialdehyde + L-glutamate.	Pyridoxal-phosphate.		Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
469402	2.4.1.259							
469402	2.4.1.261							
469409	1.1.1.25	Shikimate 5-dehydrogenase.	Shikimate + NADP(+) = 5-dehydroshikimate + NADPH.			Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
